#p		P_infity
5.00000000e-01	0.00000000e+00
5.10000000e-01	0.00000000e+00
5.20000000e-01	0.00000000e+00
5.30000000e-01	0.00000000e+00
5.40000000e-01	0.00000000e+00
5.50000000e-01	0.00000000e+00
5.60000000e-01	0.00000000e+00
5.70000000e-01	7.52258301e-04
5.80000000e-01	2.56874084e-02
5.90000000e-01	1.57648010e-01
6.00000000e-01	3.47065430e-01
6.10000000e-01	4.68524017e-01
6.20000000e-01	5.24678650e-01
6.30000000e-01	5.63940430e-01
6.40000000e-01	5.91352844e-01
6.50000000e-01	6.11039124e-01
6.60000000e-01	6.28623505e-01
6.70000000e-01	6.44773407e-01
6.80000000e-01	6.59581757e-01
6.90000000e-01	6.73243713e-01
