	Freq.other.index	Freq.other_updown.class
40	2	5
41	1	-3
42	1	3
43	2	4
44	2	1
45	2	-1
46	1	-2
47	2	-4
48	1	-5
49	2	2
50	1	-3
51	2	4
52	1	2
53	1	-1
54	1	-2
55	2	-4
56	1	1
57	2	3
58	1	-5
59	2	5
60	2	-2
61	1	-4
62	2	-3
63	2	-5
64	1	2
65	1	-1
66	2	1
67	2	4
68	2	3
69	2	5
