	Freq.other.index	Freq.other_updown.class
0	2	-2
1	2	3
2	2	-1
3	2	-5
4	1	4
5	1	-3
6	1	2
7	1	5
8	2	1
9	1	-4
10	2	4
11	2	2
12	1	-5
13	1	-3
14	1	-1
15	2	3
16	1	5
17	2	-4
18	1	1
19	1	-2
20	2	4
21	2	-3
22	2	-4
23	2	2
24	2	-2
25	1	-1
26	1	1
27	1	-5
28	2	5
29	2	3
30	1	-4
31	2	-5
32	1	3
33	1	5
34	1	-2
35	1	-1
36	2	-3
37	1	1
38	1	4
39	1	2
