Trial	ObjID	LocID	FB	Task	RT	Stim
1	215	3	1	-2	585	4005	
2	44	1	1	-2	585	9994	
3	169	2	1	-2	503	17983	
4	34	4	1	-2	574	31973	
5	206	3	1	-2	571	41969	
6	64	1	1	-2	556	53962	
7	239	4	1	-2	555	63955	
8	187	2	1	-2	785	69964	
9	8	2	1	-1	656	81953	
10	41	3	1	-1	555	91947	
11	254	4	1	-1	751	97939	
12	225	1	1	-1	784	103928	
13	123	4	1	-1	851	109933	
14	70	3	1	-1	556	121922	
15	196	1	1	-1	901	127916	
16	19	2	1	-1	667	133922	
17	224	2	1	1	571	143910	
18	259	3	1	1	751	149902	
19	72	1	1	1	636	157891	
20	235	4	1	1	725	171881	
21	5	1	1	1	768	177877	
22	59	4	1	1	586	185882	
23	100	2	1	1	735	191889	
24	51	3	1	1	501	197878	
25	263	1	0	1	417	203884	
26	219	4	0	1	388	213872	
27	179	2	0	1	604	223864	
28	114	3	0	1	556	235856	
29	9	1	0	1	335	241850	
30	104	3	0	1	777	257839	
31	248	4	0	1	134	263853	
32	40	2	0	1	556	275842	
33	96	1	1	2	634	281836	
34	242	2	1	2	551	287841	
35	77	3	1	2	468	293830	
36	90	4	1	2	535	299835	
37	23	2	1	2	503	307824	
38	165	1	1	2	469	315815	
39	226	4	1	2	634	321805	
40	15	3	1	2	555	331810	
41	136	2	0	2	536	339802	
42	158	1	0	2	734	345793	
43	29	4	0	2	586	353798	
44	170	3	0	2	536	361805	
45	7	3	0	2	621	371796	
46	257	4	0	2	835	377788	
47	152	1	0	2	802	383793	
48	95	2	0	2	670	391782	
49	76	3	1	-2	968	397772	
50	230	1	1	-2	569	405761	
51	35	2	1	-2	537	413751	
52	162	4	1	-2	653	421742	
53	38	4	1	-2	968	427732	
54	2	3	1	-2	569	435721	
55	231	2	1	-2	570	443711	
56	205	1	1	-2	569	451702	
57	14	3	1	1	701	457692	
58	140	4	1	1	568	463681	
59	137	2	1	1	568	469686	
