	trial	Freq_other.class	Freq_other.index
70	80001	-1	1
71	80002	1	1
72	80003	-1	2
73	80004	1	2
74	80005	-1	2
75	80006	1	1
76	80007	1	1
77	80008	-1	2
78	80009	1	1
79	80010	-1	2
80	90001	1	2
81	90002	1	1
82	90003	1	2
83	90004	-1	1
84	90005	1	1
85	90006	-1	2
86	90007	-1	2
87	90008	-1	1
88	90009	-1	2
89	90010	1	1
90	100001	1	1
91	100002	1	1
92	100003	-1	2
93	100004	-1	1
94	100005	1	1
95	100006	1	2
96	100007	-1	2
97	100008	-1	1
98	100009	1	2
99	100010	-1	2
