Trial	ObjID	LocID	FB	Task	RT	Stim
1	101	3	1	-2	669	4010	
2	141	2	1	-2	690	14015	
3	97	4	1	-2	686	20008	
4	127	1	1	-2	688	27997	
5	189	3	1	-2	671	35988	
6	214	1	1	-2	803	41979	
7	109	2	1	-2	736	47985	
8	200	4	1	-2	657	57974	
9	132	4	1	-1	755	65967	
10	75	1	1	-1	786	71958	
11	90	3	1	-1	736	77947	
12	70	2	1	-1	622	87936	
13	195	3	1	-1	803	93929	
14	34	1	1	-1	696	109935	
15	199	4	1	-1	588	117934	
16	108	2	1	-1	773	127925	
17	150	4	1	1	1053	133918	
18	112	3	1	1	688	141907	
19	219	1	1	1	771	149898	
20	10	2	1	1	686	155889	
21	4	2	1	1	669	161878	
22	221	1	1	1	603	167867	
23	56	4	1	1	785	173856	
24	126	3	1	1	773	183862	
25	259	1	0	1	786	189855	
26	16	4	0	1	688	197844	
27	256	3	0	1	988	205835	
28	65	2	0	1	1004	213827	
29	211	1	0	1	990	223817	
30	104	3	0	1	836	229810	
31	169	2	0	1	637	237800	
32	227	4	0	1	803	243807	
33	114	1	1	2	1109	255796	
34	215	3	1	2	571	263791	
35	121	2	1	2	605	271782	
36	82	4	1	2	755	279773	
37	116	3	1	2	703	285764	
38	94	2	1	2	836	291753	
39	119	1	1	2	769	297742	
40	96	4	1	2	676	311732	
41	83	1	0	2	655	319728	
42	242	2	0	2	888	327719	
43	18	4	0	2	835	333710	
44	240	3	0	2	970	339716	
45	124	2	0	2	1037	345705	
46	176	1	0	2	804	353694	
47	84	4	0	2	753	359702	
48	246	3	0	2	936	365691	
49	153	3	1	-2	1103	371680	
50	204	4	1	-2	624	383669	
51	5	2	1	-2	655	391664	
52	198	1	1	-2	870	397655	
53	186	4	1	-2	671	405661	
54	14	1	1	-2	657	415652	
55	149	3	1	-2	705	423645	
56	216	2	1	-2	671	431636	
57	164	2	1	1	655	439627	
58	72	3	1	1	672	449618	
59	59	4	1	1	586	455611	
60	157	1	1	1	671	463600	
61	3	4	1	1	753	469591	
62	218	3	1	1	889	479581	
63	53	1	1	1	735	485573	
64	103	2	1	1	588	493579	
65	24	4	0	1	703	499570	
66	255	3	0	1	809	511559	
67	69	1	0	1	836	517554	
68	11	2	0	1	935	523543	
69	1	4	0	1	826	537532	
70	202	2	0	1	855	545529	
71	154	3	0	1	755	553520	
72	117	1	0	1	742	565511	
73	135	2	1	2	773	575506	
74	105	4	1	2	836	581499	
75	54	3	1	2	686	587488	
76	63	1	1	2	569	593477	
77	185	3	1	2	707	603483	
78	249	2	1	2	803	609476	
79	162	4	1	2	775	621465	
80	138	1	1	2	903	627460	
81	262	3	0	2	786	633449	
82	73	1	0	2	705	641438	
83	148	2	0	2	688	649429	
84	88	4	0	2	736	655420	
85	233	4	0	2	703	661426	
86	113	1	0	2	771	669415	
87	23	3	0	2	757	679406	
88	92	2	0	2	736	685399	
89	136	2	1	-1	954	4013	
90	191	1	1	-1	886	10004	
91	87	4	1	-1	1088	17993	
92	251	3	1	-1	671	25984	
93	79	2	1	-1	702	31975	
94	217	4	1	-1	853	37964	
95	212	1	1	-1	857	47953	
96	118	3	1	-1	836	53946	
97	81	2	1	-1	1136	59935	
98	213	3	1	-1	588	67924	
99	183	1	1	-1	703	73915	
100	131	4	1	-1	724	85904	
101	6	2	1	1	1003	91899	
102	20	3	1	1	585	97888	
103	210	1	1	1	655	105894	
104	253	4	1	1	603	111885	
105	222	1	1	1	536	117874	
106	226	4	1	1	673	127880	
107	237	2	1	1	653	133873	
108	145	3	1	1	688	141862	
109	203	2	0	1	586	147853	
110	146	4	0	1	635	153843	
111	7	3	0	1	587	161831	
112	129	1	0	1	571	169839	
113	234	3	0	1	870	175830	
114	19	1	0	1	736	181819	
115	107	2	0	1	824	191808	
116	201	4	0	1	636	197801	
117	46	1	1	2	1237	203807	
118	13	4	1	2	571	211796	
119	248	3	1	2	803	217787	
120	165	2	1	2	705	225776	
121	85	2	1	2	1002	231767	
122	228	4	1	2	1207	241773	
123	143	1	1	2	809	253766	
124	133	3	1	2	786	259761	
125	93	1	0	2	1136	265750	
126	177	4	0	2	1500	271739	
