1.500:2 3.509:7.500 11.000:2 13.000:4.500 17.500:2 27.000:2 29.005:8.500 37.500:2 39.501:3.500 43.000:2 53.501:2 55.506:5.500 61.001:2 63.001:6.500 69.501:2 77.001:2 79.005:8.500 87.501:2 89.501:3.500 93.001:2 103.501:2 105.507:8.500 114.001:2 116.002:3.500 119.501:2 130.002:2 132.006:3.500 135.502:2 137.502:8.500 146.002:2 151.502:2 153.506:7.500 161.002:2 163.002:4.500 167.502:2 177.002:2 179.006:4.500 183.502:2 185.502:7.500 193.002:2 199.502:2 201.506:5.500 207.002:2 209.002:6.500 215.502:2 223.002:2 225.006:3.500 228.502:2 230.502:8.500 239.002:2 244.502:2 246.506:4.500 251.002:2 253.002:7.500 260.502:2 267.002:2 269.006:5.500 274.502:2 276.503:6.500 283.002:2 290.503:2 292.508:5.500 298.003:2 300.003:6.500 306.503:2 314.003:2 316.007:4.500 320.503:2 322.503:7.500 330.003:2 336.503:2 338.507:6.500 345.003:2 347.003:5.500 352.503:2 361.003:2 363.008:8.500 371.503:2 373.503:3.500 377.003:2 387.503:2 389.507:6.500 396.003:2 398.003:5.500 403.503:2 412.003:2 414.007:3.500 417.503:2 419.504:8.500 428.004:2 433.504:2 435.507:6.500 442.004:2 444.004:5.500 449.504:2 458.004:2 460.008:7.500 467.504:2 469.504:4.500 474.004:2 
1.500:2 3.504:3.500 7.000:2 9.000:8.500 17.500:2 23.000:2 25.004:6.500 31.500:2 33.500:5.500 39.000:2 47.500:2 49.504:7.500 57.000:2 59.000:4.500 63.500:2 73.000:2 75.004:8.500 83.500:2 85.500:3.500 89.000:2 99.500:2 101.504:4.500 106.000:2 108.000:7.500 115.500:2 122.000:2 124.004:8.500 132.501:2 134.501:3.500 138.001:2 148.501:2 150.504:4.500 155.001:2 157.001:7.500 164.501:2 171.001:2 173.005:6.500 179.501:2 181.501:5.500 187.001:2 195.501:2 197.504:8.500 206.001:2 208.001:3.500 211.501:2 222.001:2 224.005:8.500 232.501:2 234.501:3.500 238.001:2 248.501:2 250.505:7.500 258.001:2 260.001:4.500 264.501:2 274.001:2 276.005:6.500 282.501:2 284.501:5.500 290.001:2 298.501:2 300.505:4.500 305.001:2 307.001:7.500 314.501:2 321.001:2 323.005:3.500 326.501:2 328.501:8.500 337.001:2 342.501:2 344.505:3.500 348.001:2 350.001:8.500 358.501:2 364.001:2 366.005:3.500 369.501:2 371.501:8.500 380.001:2 385.501:2 387.505:4.500 392.001:2 394.001:7.500 401.501:2 408.001:2 410.005:5.500 415.501:2 417.501:6.500 424.001:2 431.501:2 433.505:3.500 437.001:2 439.001:8.500 447.501:2 453.001:2 455.005:7.500 462.501:2 464.501:4.500 469.001:2 
1.500:2 3.504:6.500 10.000:2 12.000:5.500 17.500:2 26.000:2 28.004:8.500 36.500:2 38.500:3.500 42.000:2 52.500:2 54.504:5.500 60.001:2 62.001:6.500 68.501:2 76.001:2 78.005:5.500 83.501:2 85.501:6.500 92.001:2 99.501:2 101.505:6.500 108.001:2 110.001:5.500 115.501:2 124.001:2 126.005:4.500 130.501:2 132.501:7.500 140.001:2 146.501:2 148.505:5.500 154.001:2 156.001:6.500 162.501:2 170.001:2 172.005:5.500 177.501:2 179.501:6.500 186.001:2 193.501:2 195.505:4.500 200.001:2 202.001:7.500 209.501:2 216.001:2 218.005:8.500 226.501:2 228.501:3.500 232.001:2 242.502:2 244.506:7.500 252.002:2 254.002:4.500 258.502:2 268.002:2 270.006:5.500 275.502:2 277.502:6.500 284.002:2 291.502:2 293.506:6.500 300.002:2 302.002:5.500 307.502:2 316.002:2 318.006:7.500 325.502:2 327.502:4.500 332.002:2 341.502:2 343.506:5.500 349.002:2 351.002:6.500 357.502:2 365.003:2 367.007:3.500 370.503:2 372.503:8.500 381.003:2 386.503:2 388.507:7.500 396.003:2 398.003:4.500 402.503:2 412.003:2 414.007:8.500 422.503:2 424.503:3.500 428.003:2 438.503:2 440.507:3.500 444.003:2 446.003:8.500 454.503:2 460.003:2 462.007:6.500 468.503:2 470.503:5.500 476.003:2 
1.500:2 3.504:5.500 9.000:2 11.000:6.500 17.500:2 25.000:2 27.004:5.500 32.500:2 34.500:6.500 41.000:2 48.500:2 50.504:8.500 59.000:2 61.000:3.500 64.500:2 75.000:2 77.004:3.500 80.500:2 82.500:8.500 91.000:2 96.500:2 98.504:4.500 103.000:2 105.000:7.500 112.500:2 119.000:2 121.004:4.500 125.500:2 127.500:7.500 135.000:2 141.501:2 143.504:3.500 147.001:2 149.001:8.500 157.501:2 163.001:2 165.004:7.500 172.501:2 174.501:4.500 179.001:2 188.501:2 190.504:3.500 194.001:2 196.001:8.500 204.501:2 210.001:2 212.005:4.500 216.501:2 218.501:7.500 226.001:2 232.501:2 234.505:8.500 243.001:2 245.001:3.500 248.501:2 259.001:2 261.005:3.500 264.501:2 266.501:8.500 275.001:2 280.501:2 282.505:6.500 289.001:2 291.001:5.500 296.501:2 305.001:2 307.005:8.500 315.501:2 317.501:3.500 321.001:2 331.501:2 333.505:8.500 342.001:2 344.001:3.500 347.501:2 358.001:2 360.005:5.500 365.501:2 367.501:6.500 374.001:2 381.501:2 383.505:6.500 390.001:2 392.001:5.500 397.501:2 406.001:2 408.005:3.500 411.501:2 413.501:8.500 422.001:2 427.501:2 429.505:7.500 437.001:2 439.001:4.500 443.501:2 453.001:2 455.005:3.500 458.501:2 460.502:8.500 469.002:2 
1.501:2 3.505:6.500 10.001:2 12.001:5.500 17.501:2 26.001:2 28.005:6.500 34.501:2 36.501:5.500 42.001:2 50.501:2 52.505:6.500 59.001:2 61.001:5.500 66.501:2 75.001:2 77.004:8.500 85.501:2 87.501:3.500 91.001:2 101.501:2 103.505:4.500 108.001:2 110.001:7.500 117.501:2 124.001:2 126.005:4.500 130.501:2 132.501:7.500 140.001:2 146.501:2 148.505:7.500 156.001:2 158.001:4.500 162.501:2 172.001:2 174.005:3.500 177.501:2 179.501:8.500 188.001:2 193.501:2 195.505:6.500 202.001:2 204.001:5.500 209.501:2 218.001:2 220.005:5.500 225.501:2 227.501:6.500 234.001:2 241.501:2 243.505:5.500 249.001:2 251.001:6.500 257.501:2 265.001:2 267.005:5.500 272.501:2 274.501:6.500 281.001:2 288.501:2 290.506:4.500 295.001:2 297.001:7.500 304.501:2 311.001:2 313.005:3.500 316.501:2 318.501:8.500 327.001:2 332.501:2 334.506:7.500 342.001:2 344.002:4.500 348.502:2 358.002:2 360.006:8.500 368.502:2 370.502:3.500 374.002:2 384.502:2 386.506:6.500 393.002:2 395.002:5.500 400.502:2 409.002:2 411.005:6.500 417.502:2 419.502:5.500 425.002:2 433.502:2 435.506:5.500 441.002:2 443.002:6.500 449.502:2 457.002:2 459.006:4.500 463.502:2 465.502:7.500 473.002:2 
