95.625	1	73.417	0.965	22.208	6	18.766
95.625	2	120.179	0.891	24.554	5	18.636
95.625	3	NaN	1.500	NaN	3	NaN
95.625	4	90.979	0.931	4.646	4	19.742
95.625	5	NaN	1.500	NaN	2	NaN
95.625	6	82.347	0.856	13.278	6	19.262
95.625	7	108.808	0.753	13.183	5	19.268
95.625	8	88.825	0.803	6.800	2	19.622
95.625	9	109.400	1.145	13.775	3	19.235
95.625	10	104.307	0.848	8.682	4	19.518
95.625	11	94.094	0.960	1.531	5	19.915
95.625	12	113.571	0.905	17.946	4	19.003
95.625	13	165.485	0.866	69.860	2	16.119
95.625	14	150.119	1.011	54.494	3	16.973
95.625	15	95.673	0.764	0.048	6	19.997
163.125	1	NaN	1.500	NaN	2	NaN
163.125	2	35.795	0.932	127.330	3	12.926
163.125	3	68.172	0.893	94.953	4	14.725
163.125	4	134.947	0.838	28.178	5	18.435
163.125	5	NaN	1.500	NaN	6	NaN
163.125	6	NaN	1.500	NaN	3	NaN
163.125	7	133.556	0.776	29.569	2	18.357
163.125	8	122.876	0.905	40.249	5	17.764
163.125	9	88.629	0.786	74.496	6	15.861
163.125	10	151.049	0.859	12.076	4	19.329
163.125	11	149.959	0.868	13.166	2	19.269
163.125	12	138.780	0.949	24.345	6	18.648
163.125	13	152.188	0.821	10.937	3	19.392
163.125	14	NaN	1.500	NaN	4	NaN
163.125	15	170.855	0.823	7.730	5	19.571
28.125	1	NaN	1.500	NaN	6	NaN
28.125	2	81.748	0.761	53.623	4	17.021
28.125	3	166.864	0.865	138.739	5	12.292
28.125	4	138.753	0.794	110.628	3	13.854
28.125	5	88.879	0.923	60.754	2	16.625
28.125	6	18.508	0.860	9.617	2	19.466
28.125	7	29.945	0.900	1.820	5	19.899
28.125	8	NaN	1.500	NaN	4	NaN
28.125	9	NaN	1.500	NaN	6	NaN
28.125	10	37.376	0.791	9.251	3	19.486
28.125	11	43.811	0.864	15.686	4	19.129
28.125	12	NaN	1.500	NaN	2	NaN
28.125	13	25.506	0.849	2.619	6	19.855
28.125	14	NaN	1.500	NaN	3	NaN
28.125	15	0.000	0.883	28.219	5	18.432
61.875	1	NaN	1.500	NaN	5	NaN
61.875	2	80.683	0.885	18.808	6	18.955
61.875	3	NaN	1.500	NaN	3	NaN
61.875	4	10.243	1.055	51.632	4	17.132
61.875	5	41.062	0.855	20.813	2	18.844
61.875	6	138.314	0.992	76.439	5	15.753
61.875	7	66.612	0.833	4.737	3	19.737
61.875	8	74.583	0.930	12.708	2	19.294
61.875	9	87.026	0.747	25.151	4	18.603
61.875	10	75.876	0.756	14.001	6	19.222
61.875	11	82.985	0.724	21.110	5	18.827
61.875	12	63.782	0.973	1.907	6	19.894
61.875	13	68.493	0.693	6.618	2	19.632
61.875	14	NaN	1.500	NaN	3	NaN
61.875	15	41.546	0.991	20.329	4	18.871
73.125	1	78.867	1.175	5.742	5	19.681
73.125	2	146.961	0.776	73.836	6	15.898
73.125	3	72.755	0.865	0.370	2	19.979
73.125	4	76.384	0.930	3.259	3	19.819
73.125	5	84.163	0.747	11.038	4	19.387
73.125	6	87.373	0.795	14.248	3	19.208
73.125	7	90.698	0.748	17.573	6	19.024
73.125	8	109.308	0.765	36.183	5	17.990
73.125	9	75.501	0.758	2.376	2	19.868
73.125	10	70.818	0.847	2.307	4	19.872
73.125	11	NaN	1.500	NaN	2	NaN
73.125	12	78.258	0.857	5.133	5	19.715
73.125	13	NaN	1.500	NaN	4	NaN
73.125	14	80.256	0.770	7.131	3	19.604
73.125	15	76.917	1.139	3.792	6	19.789
16.875	1	NaN	1.500	NaN	2	NaN
16.875	2	85.739	0.708	68.864	6	16.174
16.875	3	34.422	0.749	17.547	5	19.025
16.875	4	23.505	0.838	6.630	4	19.632
16.875	5	52.563	0.783	35.688	3	18.017
16.875	6	NaN	1.500	NaN	4	NaN
16.875	7	NaN	1.500	NaN	5	NaN
16.875	8	140.899	0.713	124.024	3	13.110
16.875	9	NaN	1.500	NaN	2	NaN
