	Freq.other.index	Freq.other_updown.class
40	1	-3
41	2	2
42	2	-4
43	1	3
44	2	4
45	1	-2
46	2	5
47	2	-1
48	1	-5
49	2	1
50	1	2
51	1	1
52	2	4
53	1	-2
54	1	-1
55	2	5
56	2	-4
57	1	-5
58	1	-3
59	2	3
60	2	3
61	1	-4
62	2	-3
63	1	2
64	2	-2
65	2	5
66	2	1
67	2	4
68	1	-1
69	2	-5
