Trial	ObjID	LocID	FB	Task	RT	Stim
1	92	1	1	-2	569	4006	
2	72	2	1	-2	436	12012	
3	226	3	1	-2	489	24002	
4	32	4	1	-2	801	29995	
5	130	1	1	-2	484	35983	
6	83	2	1	-2	504	45971	
7	188	3	1	-2	634	51979	
8	172	4	1	-2	601	57984	
9	23	4	1	-1	536	65972	
10	99	2	1	-1	536	73962	
11	220	3	1	-1	569	81968	
12	110	1	1	-1	589	93958	
13	101	1	1	-1	604	103951	
14	73	4	1	-1	834	109959	
15	249	3	1	-1	603	117947	
16	9	2	1	-1	655	129954	
17	71	3	1	2	636	137963	
18	221	4	1	2	968	143953	
19	18	2	1	2	486	151941	
20	168	1	1	2	488	161947	
21	55	4	1	2	650	167955	
22	124	2	1	2	471	177960	
23	7	3	1	2	454	187968	
24	17	1	1	2	522	199976	
25	34	1	0	2	603	207969	
26	52	2	0	2	552	215959	
27	157	3	0	2	801	221965	
28	253	4	0	2	634	227970	
29	181	2	0	2	734	233958	
30	194	1	0	2	734	239963	
31	43	3	0	2	651	245951	
32	30	4	0	2	601	251939	
33	167	4	1	1	934	257944	
34	209	3	1	1	835	263932	
35	123	2	1	1	671	273920	
36	59	1	1	1	668	279928	
37	107	1	1	1	591	293933	
38	213	2	1	1	536	301944	
39	206	3	1	1	651	307934	
40	241	4	1	1	553	315922	
41	133	3	0	1	469	323912	
42	247	2	0	1	541	337918	
43	121	1	0	1	767	343930	
44	158	4	0	1	668	349934	
45	24	4	0	1	487	359939	
46	254	1	0	1	502	367947	
47	242	3	0	1	584	373937	
48	14	2	0	1	934	379925	
49	47	1	1	-2	886	387913	
50	115	4	1	-2	588	397919	
51	102	3	1	-2	552	405927	
52	243	2	1	-2	634	411917	
53	205	3	1	-2	575	427922	
54	50	2	1	-2	634	433918	
55	193	4	1	-2	553	441906	
56	235	1	1	-2	651	447896	
57	217	4	1	2	601	453884	
58	76	1	1	2	503	461872	
59	264	2	1	2	436	469862	
60	22	3	1	2	685	475868	
61	80	3	1	2	551	481873	
62	84	2	1	2	553	489861	
63	182	1	1	2	601	495851	
64	263	4	1	2	504	505839	
65	186	4	0	2	634	511847	
66	179	3	0	2	751	517835	
67	90	1	0	2	469	525840	
68	74	2	0	2	801	531846	
69	81	2	0	2	571	541851	
70	118	4	0	2	636	549859	
71	95	1	0	2	834	555849	
72	222	3	0	2	584	561837	
73	233	2	1	1	1151	567825	
74	88	1	1	1	734	573830	
75	40	4	1	1	636	581818	
76	149	3	1	1	666	587809	
77	141	1	1	1	504	597796	
78	229	3	1	1	602	605804	
79	15	4	1	1	637	615810	
80	219	2	1	1	555	627818	
81	132	2	0	1	586	635828	
82	256	1	0	1	569	643835	
83	198	3	0	1	606	655824	
84	192	4	0	1	1001	661817	
85	244	4	0	1	684	667805	
86	89	1	0	1	769	675810	
87	6	3	0	1	768	681816	
88	151	2	0	1	553	689821	
89	251	4	1	-1	270	4017	
90	25	2	1	-1	668	10008	
91	134	3	1	-1	507	23996	
92	173	1	1	-1	605	36007	
93	93	1	1	-1	569	44017	
94	239	4	1	-1	835	50023	
95	37	2	1	-1	835	56028	
96	185	3	1	-1	569	64033	
97	82	2	1	-1	635	72039	
98	227	1	1	-1	653	80029	
99	113	3	1	-1	1001	86019	
100	230	4	1	-1	676	102007	
101	245	2	1	2	654	112003	
102	195	4	1	2	401	118011	
103	225	3	1	2	522	129999	
104	61	1	1	2	668	135992	
105	65	4	1	2	567	141997	
106	156	3	1	2	553	149985	
107	259	1	1	2	654	159975	
108	178	2	1	2	603	167966	
109	4	3	0	2	834	173973	
110	31	4	0	2	603	183977	
111	39	1	0	2	768	189985	
112	96	2	0	2	734	195990	
113	13	3	0	2	621	205978	
114	10	4	0	2	935	211986	
115	246	1	0	2	834	217991	
116	5	2	0	2	803	225979	
117	111	2	1	1	1153	233969	
118	169	1	1	1	604	243975	
119	33	4	1	1	536	251983	
120	148	3	1	1	67	257973	
121	261	3	1	1	554	267961	
122	215	4	1	1	151	273969	
123	155	1	1	1	504	283974	
124	176	2	1	1	572	295982	
125	137	3	0	1	934	301975	
126	212	1	0	1	736	309963	
127	125	2	0	1	767	315969	
128	119	4	0	1	604	325974	
129	117	1	0	1	835	331982	
130	120	4	0	1	569	339987	
131	180	2	0	1	821	349977	
132	184	3	0	1	568	355968	
133	139	4	1	-2	888	365956	
134	163	3	1	-2	885	371964	
135	46	2	1	-2	554	381969	
136	100	1	1	-2	784	387977	
137	237	4	1	-2	701	393965	
138	87	3	1	-2	587	403970	
139	214	1	1	-2	669	411978	
140	211	2	1	-2	868	417984	
141	26	2	1	2	736	425989	
142	106	1	1	2	135	433979	
143	35	4	1	2	469	441985	
144	129	3	1	2	556	453975	
145	216	1	1	2	686	461968	
146	49	4	1	2	635	469974	
147	86	3	1	2	736	477964	
148	177	2	1	2	667	483954	
149	138	2	0	2	634	489942	
150	175	1	0	2	521	499930	
151	51	3	0	2	601	505938	
152	29	4	0	2	634	511926	
153	19	2	0	2	569	519931	
154	12	3	0	2	635	527938	
155	252	1	0	2	634	533927	
156	70	4	0	2	634	539915	
157	262	3	1	1	784	545920	
158	174	2	1	1	503	553908	
159	97	4	1	1	536	561898	
160	60	1	1	1	584	567904	
161	143	3	1	1	601	573909	
162	258	1	1	1	641	587897	
163	62	2	1	1	601	593908	
164	183	4	1	1	535	601913	
165	236	4	0	1	536	609903	
166	16	3	0	1	635	615909	
167	27	1	0	1	801	621914	
168	57	2	0	1	536	629919	
169	91	2	0	1	485	637925	
170	196	4	0	1	651	643915	
171	36	3	0	1	686	651903	
172	109	1	0	1	734	657893	
173	78	3	1	-1	637	4015	
174	218	4	1	-1	756	16022	
175	77	2	1	-1	601	22015	
176	191	1	1	-1	569	30003	
177	67	2	1	-1	668	35993	
178	105	3	1	-1	654	45981	
179	79	4	1	-1	601	51989	
180	58	1	1	-1	551	57977	
181	144	1	1	-1	586	65982	
182	164	2	1	-1	617	71989	
183	202	4	1	-1	551	77993	
184	165	3	1	-1	604	87998	
185	64	1	1	2	651	94006	
186	131	4	1	2	504	103994	
187	248	2	1	2	601	110002	
188	240	3	1	2	536	117990	
189	224	4	1	2	554	127980	
190	190	1	1	2	836	135988	
191	28	3	1	2	602	143995	
192	208	2	1	2	651	149984	
193	45	2	0	2	671	159972	
194	11	3	0	2	536	167980	
195	136	1	0	2	551	173970	
196	152	4	0	2	584	179958	
197	44	2	0	2	521	189946	
198	204	3	0	2	835	195954	
199	108	4	0	2	734	201959	
200	238	1	0	2	634	207947	
201	234	2	1	1	1368	213935	
202	68	3	1	1	564	219944	
203	159	1	1	1	568	225928	
204	42	4	1	1	501	231933	
205	199	3	1	1	486	239921	
206	2	4	1	1	555	251911	
207	197	2	1	1	535	259921	
208	63	1	1	1	536	267910	
209	114	2	0	1	524	281900	
210	85	3	0	1	634	287911	
211	223	4	0	1	503	295899	
212	56	1	0	1	636	303889	
213	116	1	0	1	569	311895	
214	161	2	0	1	568	317885	
215	8	4	0	1	536	325873	
216	126	3	0	1	536	333863	
217	162	2	1	-2	701	339869	
218	250	3	1	-2	534	345874	
219	228	4	1	-2	486	353862	
220	150	1	1	-2	552	361852	
221	48	2	1	-2	584	367859	
222	257	4	1	-2	484	373863	
223	170	3	1	-2	502	381868	
224	232	1	1	-2	452	389874	
225	231	2	1	2	854	399864	
226	94	3	1	2	541	413872	
227	122	4	1	2	588	425883	
228	41	1	1	2	601	431876	
229	255	2	1	2	751	437881	
230	203	4	1	2	636	445869	
231	75	3	1	2	751	451859	
232	3	1	1	2	734	457847	
233	146	1	0	2	654	467835	
234	171	2	0	2	769	475843	
235	145	4	0	2	636	483833	
236	53	3	0	2	534	489839	
237	260	4	0	2	653	497844	
238	142	1	0	2	1353	505834	
239	166	3	0	2	588	515840	
240	187	2	0	2	307	529848	
241	1	3	1	1	637	539860	
242	98	4	1	1	367	545868	
243	201	2	1	1	484	551872	
244	200	1	1	1	568	557877	
245	207	2	1	1	654	567865	
246	128	3	1	1	368	573873	
247	153	4	1	1	536	581878	
248	104	1	1	1	1473	593884	
249	69	3	0	1	784	599894	
250	103	2	0	1	1500	607882	
251	66	1	0	1	575	623872	
252	38	4	0	1	567	629868	
253	140	1	0	1	684	635856	
254	210	3	0	1	534	641844	
255	54	4	0	1	686	649849	
256	147	2	0	1	735	657856	
257	135	2	1	-1	1500	665845	
258	21	1	1	-1	489	677835	
259	154	3	1	-1	601	683828	
260	160	4	1	-1	668	689816	
261	189	2	1	-1	684	695804	
262	127	1	1	-1	1485	701792	
263	112	3	1	-1	651	707797	
264	20	4	1	-1	656	719785	
