decision.index	answer.index
NaN	1
1	1
1	1
1	2
1	2
1	1
2	1
1	2
NaN	1
1	2
2	2
1	2
2	2
2	2
1	2
2	2
1	1
2	2
1	1
1	1
1	2
2	2
2	2
1	1
1	2
1	2
2	1
2	2
1	1
1	1
2	1
1	1
1	2
2	1
2	1
2	1
1	2
1	2
NaN	1
2	1
NaN	2
2	1
2	2
1	1
1	2
2	1
1	2
2	2
2	2
2	2
1	2
1	1
2	2
2	2
2	2
2	2
1	2
2	1
1	2
1	1
1	1
2	1
1	2
1	2
2	2
1	2
1	1
2	2
1	1
2	2
2	2
1	1
1	1
1	2
2	1
1	1
2	1
1	1
1	1
1	1
1	2
2	1
2	2
2	2
1	1
1	1
1	1
2	2
2	1
1	1
2	1
1	1
1	1
1	2
2	1
2	2
2	1
1	2
1	2
2	1
