Trial	ObjID	LocID	FB	Task	RT	Stim
1	84	2	1	-2	585	4009	
2	114	4	1	-2	654	13999	
3	255	1	1	-2	734	20007	
4	195	3	1	-2	823	31995	
5	190	1	1	-2	768	37988	
6	6	3	1	-2	551	43976	
7	217	2	1	-2	571	53981	
8	12	4	1	-2	584	59989	
9	136	3	1	-1	707	73977	
10	158	4	1	-1	736	81988	
11	166	2	1	-1	536	89978	
12	232	1	1	-1	736	97968	
13	252	2	1	-1	636	105974	
14	254	3	1	-1	651	111964	
15	115	4	1	-1	668	117952	
16	92	1	1	-1	703	125940	
17	132	1	1	2	701	131930	
18	262	4	1	2	536	139918	
19	104	2	1	2	637	149908	
20	257	3	1	2	701	155899	
21	8	1	1	2	684	161887	
22	182	4	1	2	572	173892	
23	107	2	1	2	634	179885	
24	79	3	1	2	501	185873	
25	223	3	0	2	536	193861	
26	80	1	0	2	651	199851	
27	129	4	0	2	936	207839	
28	5	2	0	2	852	215829	
29	86	2	0	2	751	221835	
30	169	1	0	2	686	229823	
31	171	3	0	2	917	235814	
32	156	4	0	2	734	241801	
33	233	2	1	1	1003	249789	
34	197	4	1	1	536	257779	
35	183	1	1	1	1085	263785	
36	99	3	1	1	1500	269790	
37	143	4	1	1	568	275778	
38	64	3	1	1	621	285783	
39	94	1	1	1	671	295791	
40	256	2	1	1	536	303799	
41	186	2	0	1	884	309789	
42	18	4	0	1	769	317777	
43	30	3	0	1	617	323783	
44	3	1	0	1	486	331788	
45	111	2	0	1	936	339778	
46	51	4	0	1	993	355784	
47	120	1	0	1	788	365797	
48	194	3	0	1	791	379805	
49	236	2	1	-2	1068	385816	
50	121	1	1	-2	556	397821	
51	24	3	1	-2	636	405814	
52	188	4	1	-2	602	413804	
53	62	4	1	-2	784	419810	
54	244	2	1	-2	688	429798	
55	35	1	1	-2	801	435806	
56	93	3	1	-2	584	441811	
57	34	4	1	2	701	447799	
58	50	3	1	2	753	455804	
59	235	2	1	2	502	463794	
60	98	1	1	2	468	469800	
61	10	3	1	2	668	475788	
62	175	1	1	2	1286	483793	
63	126	4	1	2	701	489783	
64	20	2	1	2	787	499771	
65	152	4	0	2	768	505762	
66	23	2	0	2	836	513767	
67	168	3	0	2	601	519757	
68	19	1	0	2	884	525745	
69	203	1	0	2	567	531733	
70	145	4	0	2	836	539721	
71	37	2	0	2	1285	545711	
72	96	3	0	2	769	553699	
73	258	4	1	1	670	563689	
74	87	3	1	1	771	573680	
75	22	2	1	1	651	579688	
76	205	1	1	1	622	591676	
77	237	3	1	1	603	599669	
78	193	2	1	1	452	607659	
79	75	1	1	1	1035	613665	
80	39	4	1	1	552	621670	
81	219	1	0	1	1088	631660	
82	177	3	0	1	989	643651	
83	248	4	0	1	901	649644	
84	225	2	0	1	1055	659632	
85	179	1	0	1	935	665640	
86	260	3	0	1	768	671628	
87	97	2	0	1	669	679633	
88	106	4	0	1	851	685623	
89	228	1	1	-1	787	4012	
90	41	4	1	-1	684	10003	
91	118	3	1	-1	137	19991	
92	238	2	1	-1	653	27999	
93	83	2	1	-1	502	35989	
94	40	3	1	-1	484	41995	
95	222	4	1	-1	554	52000	
96	134	1	1	-1	634	58008	
97	137	2	1	-1	634	63996	
98	142	3	1	-1	641	79985	
99	70	1	1	-1	552	87997	
100	53	4	1	-1	567	93987	
101	161	4	1	2	1153	101975	
102	241	3	1	2	685	107981	
103	60	1	1	2	534	113986	
104	56	2	1	2	434	119974	
105	100	4	1	2	754	129979	
106	59	2	1	2	851	135987	
107	105	3	1	2	1191	149975	
108	66	1	1	2	734	155970	
109	231	3	0	2	686	163958	
110	13	4	0	2	885	169964	
111	131	2	0	2	751	175969	
112	74	1	0	2	703	183957	
113	160	1	0	2	1451	189947	
114	44	3	0	2	469	197935	
115	140	2	0	2	806	209925	
116	180	4	0	2	853	217934	
117	9	3	1	1	1436	225924	
118	221	1	1	1	684	231914	
119	226	4	1	1	634	237902	
120	102	2	1	1	569	245890	
121	230	1	1	1	1435	251880	
122	170	2	1	1	552	259868	
123	21	3	1	1	601	265874	
124	31	4	1	1	603	273879	
125	26	2	0	1	569	281869	
126	206	4	0	1	436	289875	
127	63	1	0	1	651	295865	
128	163	3	0	1	634	301853	
129	149	3	0	1	684	307841	
130	101	1	0	1	786	315846	
131	38	4	0	1	704	325836	
132	57	2	0	1	602	333827	
133	48	4	1	-2	701	339817	
134	33	1	1	-2	385	347805	
135	200	2	1	-2	471	357811	
136	109	3	1	-2	621	367819	
137	81	3	1	-2	523	379827	
138	240	2	1	-2	936	387820	
139	103	1	1	-2	1034	393810	
140	251	4	1	-2	434	399798	
141	263	3	1	2	534	405786	
142	151	4	1	2	436	413791	
143	112	2	1	2	687	423781	
144	14	1	1	2	671	433772	
145	133	1	1	2	836	441780	
146	189	4	1	2	984	447770	
147	174	2	1	2	752	455758	
148	29	3	1	2	553	463764	
149	162	1	0	2	856	475754	
150	16	3	0	2	934	481747	
151	208	2	0	2	973	493735	
152	91	4	0	2	1101	499728	
153	250	3	0	2	784	505716	
154	146	1	0	2	1152	511704	
155	65	2	0	2	1335	517709	
156	28	4	0	2	603	525697	
157	181	4	1	1	1408	539687	
158	229	1	1	1	469	547698	
159	58	2	1	1	537	557688	
160	117	3	1	1	551	563679	
161	68	3	1	1	603	571667	
162	202	2	1	1	753	579657	
163	27	1	1	1	554	589647	
164	196	4	1	1	568	595638	
165	167	1	0	1	569	603626	
166	173	4	0	1	1054	613616	
167	216	3	0	1	184	619607	
