	trial	Freq_other.class	Freq_other.index
70	80001	1	1
71	80002	-1	2
72	80003	-1	2
73	80004	1	1
74	80005	1	2
75	80006	1	1
76	80007	-1	2
77	80008	1	1
78	80009	-1	2
79	80010	-1	1
80	90001	1	1
81	90002	1	2
82	90003	1	1
83	90004	-1	2
84	90005	-1	2
85	90006	-1	1
86	90007	1	1
87	90008	-1	1
88	90009	-1	2
89	90010	1	2
90	100001	1	1
91	100002	-1	1
92	100003	-1	2
93	100004	1	2
94	100005	1	1
95	100006	-1	2
96	100007	1	2
97	100008	-1	1
98	100009	1	1
99	100010	-1	2
