	trial	Freq_other.class	Freq_other.index
40	50001	1	2
41	50002	-1	1
42	50003	1	1
43	50004	1	2
44	50005	1	2
45	50006	-1	2
46	50007	-1	1
47	50008	-1	2
48	50009	-1	1
49	50010	1	2
50	60001	-1	1
51	60002	1	2
52	60003	1	1
53	60004	-1	1
54	60005	-1	1
55	60006	-1	2
56	60007	1	1
57	60008	1	2
58	60009	-1	1
59	60010	1	2
60	70001	-1	2
61	70002	-1	1
62	70003	-1	2
63	70004	-1	2
64	70005	1	1
65	70006	-1	1
66	70007	1	2
67	70008	1	2
68	70009	1	2
69	70010	1	2
