50.625	1	33.473	0.741	17.152	6	19.047
50.625	2	NaN	1.500	NaN	2	NaN
50.625	3	43.004	1.011	7.621	4	19.577
50.625	4	58.058	0.715	7.433	3	19.587
50.625	5	45.935	0.739	4.690	5	19.739
50.625	6	26.928	0.665	23.697	5	18.683
50.625	7	20.295	0.568	30.330	6	18.315
50.625	8	0.000	0.689	54.304	3	16.983
50.625	9	12.879	0.753	37.746	2	17.903
50.625	10	5.679	0.888	44.946	4	17.503
50.625	11	3.699	1.033	46.926	6	17.393
50.625	12	0.000	0.746	56.349	4	16.869
50.625	13	14.043	0.707	36.582	3	17.968
50.625	14	6.750	0.908	43.875	2	17.563
50.625	15	40.379	0.765	10.246	5	19.431
61.875	1	NaN	1.500	NaN	6	NaN
61.875	2	57.911	1.005	3.964	5	19.780
61.875	3	26.468	0.718	35.407	2	18.033
61.875	4	47.593	0.814	14.282	4	19.207
61.875	5	0.000	0.687	61.982	3	16.557
61.875	6	48.702	0.632	13.173	3	19.268
61.875	7	53.463	0.673	8.412	4	19.533
61.875	8	NaN	1.500	NaN	6	NaN
61.875	9	53.421	1.106	8.454	5	19.530
61.875	10	43.902	0.747	17.973	2	19.001
61.875	11	53.587	1.028	8.288	5	19.540
61.875	12	62.117	0.749	0.242	6	19.987
61.875	13	66.713	0.550	4.838	3	19.731
61.875	14	53.322	0.831	8.553	2	19.525
61.875	15	NaN	1.500	NaN	4	NaN
5.625	1	NaN	1.500	NaN	2	NaN
5.625	2	127.463	1.065	121.838	6	13.231
5.625	3	180.000	0.737	179.390	4	10.034
5.625	4	166.648	0.906	161.023	3	11.054
5.625	5	157.664	0.731	152.039	5	11.553
5.625	6	95.464	0.636	89.839	6	15.009
5.625	7	160.576	0.620	154.951	4	11.392
5.625	8	123.926	0.589	118.301	5	13.428
5.625	9	NaN	1.500	NaN	2	NaN
5.625	10	132.170	0.815	126.545	3	12.970
5.625	11	141.278	0.688	135.653	4	12.464
5.625	12	143.383	0.585	137.758	3	12.347
5.625	13	131.102	0.730	125.477	6	13.029
5.625	14	123.403	0.571	117.778	2	13.457
5.625	15	147.923	1.108	142.298	5	12.095
174.375	1	NaN	1.500	NaN	3	NaN
174.375	2	94.826	1.046	79.549	2	15.581
174.375	3	61.095	0.679	113.280	6	13.707
174.375	4	125.921	0.632	48.454	4	17.308
174.375	5	112.380	0.616	61.995	5	16.556
174.375	6	145.398	0.642	28.977	4	18.390
174.375	7	137.122	0.730	37.253	2	17.930
174.375	8	32.501	0.763	141.874	3	12.118
174.375	9	158.056	0.843	16.319	6	19.093
174.375	10	180.000	0.748	7.002	5	19.611
174.375	11	147.794	0.637	26.581	5	18.523
174.375	12	180.000	0.574	12.542	4	19.303
174.375	13	172.778	0.703	1.597	3	19.911
174.375	14	127.392	0.864	46.983	6	17.390
174.375	15	169.242	0.721	5.133	2	19.715
118.125	1	NaN	1.500	NaN	4	NaN
118.125	2	62.766	0.698	55.359	2	16.924
118.125	3	17.550	0.929	100.575	3	14.413
118.125	4	107.699	0.714	10.426	5	19.421
118.125	5	174.095	0.739	55.970	6	16.891
118.125	6	85.748	0.684	32.377	2	18.201
118.125	7	120.606	0.765	2.481	5	19.862
118.125	8	100.728	0.582	17.397	3	19.033
118.125	9	87.187	0.663	30.938	4	18.281
118.125	10	113.920	0.583	4.205	6	19.766
118.125	11	4.302	0.680	113.823	4	13.677
118.125	12	137.685	0.641	19.560	3	18.913
118.125	13	163.569	0.650	45.444	2	17.475
118.125	14	124.750	0.803	6.625	5	19.632
118.125	15	130.337	0.860	12.212	6	19.322
106.875	1	NaN	1.500	NaN	5	NaN
106.875	2	78.589	0.853	28.286	3	18.429
106.875	3	45.994	0.790	60.881	6	16.618
106.875	4	120.215	0.695	13.340	2	19.259
106.875	5	167.134	0.944	60.259	4	16.652
106.875	6	64.180	0.753	42.695	6	17.628
106.875	7	51.224	0.657	55.651	4	16.908
106.875	8	86.297	0.594	20.578	3	18.857
106.875	9	67.375	0.658	39.500	5	17.806
106.875	10	91.555	0.555	15.320	2	19.149
106.875	11	67.048	0.980	39.827	4	17.787
106.875	12	64.424	1.029	42.451	2	17.642
106.875	13	73.117	1.022	33.758	3	18.125
106.875	14	56.080	0.863	50.795	5	17.178
106.875	15	180.000	0.848	81.230	6	15.487
163.125	1	NaN	1.500	NaN	5	NaN
163.125	2	89.709	0.642	73.416	2	15.921
163.125	3	57.005	0.827	106.120	6	14.104
163.125	4	36.381	0.763	126.744	3	12.959
163.125	5	94.484	0.764	68.641	4	16.187
163.125	6	131.369	0.693	31.756	2	18.236
163.125	7	180.000	0.886	20.026	6	18.887
163.125	8	148.999	0.631	14.126	3	19.215
163.125	9	123.633	0.864	39.492	4	17.806
163.125	10	145.139	0.736	17.986	5	19.001
163.125	11	178.294	0.657	15.169	2	19.157
163.125	12	40.442	0.922	122.683	5	13.184
163.125	13	162.041	0.739	1.084	3	19.940
163.125	14	155.082	0.836	8.043	4	19.553
163.125	15	145.098	0.645	18.027	6	18.999
129.375	1	NaN	1.500	NaN	3	NaN
129.375	2	16.668	0.967	112.707	2	13.739
129.375	3	0.634	0.808	128.741	4	12.848
129.375	4	55.071	0.712	74.304	5	15.872
129.375	5	96.521	0.633	32.854	6	18.175
129.375	6	124.092	0.698	5.283	4	19.707
129.375	7	165.585	0.723	36.210	6	17.988
129.375	8	143.311	0.660	13.936	2	19.226
129.375	9	115.881	0.837	13.494	5	19.250
129.375	10	134.315	0.870	4.940	3	19.726
129.375	11	110.297	0.662	19.078	3	18.940
129.375	12	131.312	0.759	1.937	6	19.892
129.375	13	121.086	0.656	8.289	5	19.539
129.375	14	111.382	0.865	17.993	2	19.000
129.375	15	112.341	1.210	17.034	4	19.054
151.875	1	NaN	1.500	NaN	2	NaN
151.875	2	49.833	1.044	102.042	6	14.331
151.875	3	101.442	0.693	50.433	3	17.198
151.875	4	134.990	0.822	16.885	4	19.062
151.875	5	117.450	0.719	34.425	5	18.087
151.875	6	180.000	0.720	30.800	3	18.289
151.875	7	11.485	0.713	140.390	5	12.201
151.875	8	172.799	0.762	20.924	4	18.838
151.875	9	NaN	1.500	NaN	2	NaN
151.875	10	180.000	1.475	37.580	6	17.912
151.875	11	180.000	0.676	43.406	2	17.589
151.875	12	100.271	0.853	51.604	5	17.133
