118.125	128	121.617	1.039	3.492	1.500
61.875	129	53.709	0.755	8.166	1.500
39.375	130	42.381	0.855	3.006	1.500
163.125	131	164.783	0.811	1.658	1.500
140.625	132	138.619	0.966	2.006	1.500
129.375	133	128.851	1.034	0.524	1.500
28.125	134	31.178	0.718	3.053	1.500
16.875	135	17.517	0.978	0.642	1.500
118.125	136	119.751	1.158	1.626	1.500
95.625	137	99.764	1.034	4.139	1.500
106.875	138	117.805	1.038	10.930	1.500
50.625	139	50.461	0.738	0.164	1.500
84.375	140	72.989	0.718	11.386	1.500
5.625	141	11.279	1.106	5.654	1.500
174.375	142	NaN	1.500	NaN	1.500
151.875	143	154.151	0.922	2.276	1.500
73.125	144	65.548	0.686	7.577	1.500
174.375	145	NaN	1.500	NaN	1.500
129.375	146	131.084	0.949	1.709	1.500
106.875	147	104.164	0.905	2.711	1.500
163.125	148	157.703	1.037	5.422	1.500
61.875	149	60.668	0.753	1.207	1.500
28.125	150	25.267	0.861	2.858	1.500
151.875	151	153.334	0.793	1.459	1.500
95.625	152	89.552	0.821	6.073	1.500
39.375	153	34.850	0.745	4.525	1.500
140.625	154	144.583	0.805	3.958	1.500
5.625	155	10.928	0.897	5.303	1.500
16.875	156	20.002	0.845	3.127	1.500
84.375	157	78.096	0.721	6.279	1.500
50.625	158	56.274	0.797	5.649	1.500
118.125	159	118.172	0.753	0.047	1.500
73.125	160	65.177	0.717	7.948	1.500
163.125	161	169.481	0.897	6.356	1.500
95.625	162	92.585	0.716	3.040	1.500
28.125	163	25.851	0.713	2.274	1.500
140.625	164	138.538	0.740	2.087	1.500
118.125	165	125.295	0.912	7.170	1.500
50.625	166	44.156	0.700	6.469	1.500
151.875	167	156.845	0.904	4.970	1.500
16.875	168	19.374	0.860	2.499	1.500
84.375	169	80.368	0.856	4.007	1.500
174.375	170	178.076	0.892	3.701	1.500
39.375	171	44.207	0.736	4.832	1.500
73.125	172	58.375	0.828	14.750	1.500
61.875	173	66.468	0.736	4.593	1.500
129.375	174	128.718	0.908	0.657	1.500
106.875	175	99.584	0.712	7.291	1.500
5.625	176	10.041	0.780	4.416	1.500
16.875	177	14.721	0.775	2.154	1.500
5.625	178	5.683	0.852	0.058	1.500
39.375	179	35.853	0.752	3.522	1.500
140.625	180	134.154	0.972	6.471	1.500
61.875	181	64.554	0.783	2.679	1.500
174.375	182	175.742	1.291	1.367	1.500
163.125	183	165.739	0.815	2.614	1.500
151.875	184	NaN	1.500	NaN	1.500
73.125	185	65.925	0.815	7.200	1.500
50.625	186	45.730	0.771	4.895	1.500
28.125	187	28.789	0.799	0.664	1.500
118.125	188	111.407	0.779	6.718	1.500
106.875	189	108.454	0.791	1.579	1.500
129.375	190	140.089	0.819	10.714	1.500
95.625	191	94.459	0.815	1.166	1.500
84.375	192	74.390	0.675	9.985	1.500
73.125	193	70.630	0.871	2.495	1.500
129.375	194	134.901	1.418	5.526	1.500
95.625	195	108.381	1.342	12.756	1.500
39.375	196	33.972	0.786	5.403	1.500
16.875	197	18.225	0.807	1.350	1.500
5.625	198	9.419	0.826	3.794	1.500
28.125	199	37.919	0.798	9.794	1.500
84.375	200	82.308	0.922	2.067	1.500
163.125	201	171.641	0.846	8.516	1.500
174.375	202	NaN	1.500	NaN	1.500
106.875	203	106.544	0.862	0.331	1.500
50.625	204	47.381	0.762	3.244	1.500
140.625	205	139.934	0.766	0.691	1.500
61.875	206	57.896	0.826	3.979	1.500
118.125	207	114.772	0.870	3.353	1.500
151.875	208	160.045	0.874	8.170	1.500
95.625	209	90.912	0.830	4.713	1.500
50.625	210	40.656	0.722	9.969	1.500
73.125	211	63.049	0.709	10.076	1.500
61.875	212	60.993	0.858	0.882	1.500
129.375	213	136.656	0.877	7.281	1.500
140.625	214	142.741	0.689	2.116	1.500
5.625	215	8.679	0.797	3.054	1.500
106.875	216	112.901	0.657	6.026	1.500
39.375	217	41.742	0.797	2.367	1.500
174.375	218	164.326	0.953	10.049	1.500
16.875	219	25.495	0.749	8.620	1.500
28.125	220	NaN	1.500	NaN	1.500
118.125	221	97.380	0.805	20.745	1.500
163.125	222	154.090	1.233	9.035	1.500
151.875	223	154.316	1.141	2.441	1.500
84.375	224	74.421	0.809	9.954	1.500
50.625	225	39.065	0.765	11.560	1.500
61.875	226	59.881	0.737	1.994	1.500
28.125	227	18.770	0.893	9.355	1.500
95.625	228	97.752	0.769	2.127	1.500
163.125	229	172.739	0.893	9.614	1.500
84.375	230	85.615	1.096	1.240	1.500
140.625	231	152.949	0.813	12.324	1.500
129.375	232	132.267	0.864	2.892	1.500
151.875	233	161.727	0.932	9.852	1.500
106.875	234	99.820	0.768	7.055	1.500
39.375	235	34.932	0.676	4.443	1.500
73.125	236	68.778	0.744	4.347	1.500
118.125	237	122.750	1.052	4.625	1.500
16.875	238	13.457	0.784	3.418	1.500
5.625	239	8.877	0.780	3.252	1.500
174.375	240	NaN	1.500	NaN	1.500
