	Freq.other.index	Freq.other_updown.class
0	2	-5
1	2	1
2	2	-2
3	2	-1
4	1	-3
5	1	-4
6	1	5
7	1	4
8	2	3
9	1	2
10	1	-2
11	1	-5
12	1	-3
13	1	5
14	1	-1
15	2	-4
16	2	4
17	2	3
18	2	2
19	1	1
20	2	5
21	2	2
22	2	4
23	1	-5
24	2	3
25	2	-2
26	1	1
27	1	-1
28	2	-4
29	2	-3
30	1	2
31	2	-5
32	1	-4
33	1	1
34	1	4
35	1	-2
36	1	3
37	2	-3
38	1	-1
39	1	5
