	Freq.other.index	Freq.other_updown.class
70	2	-1
71	2	-3
72	2	-5
73	1	3
74	1	-4
75	1	4
76	1	5
77	1	1
78	2	-2
79	2	2
80	2	-5
81	1	-2
82	1	4
83	1	-4
84	1	3
85	2	-3
86	2	5
87	2	-1
88	1	2
89	2	1
90	2	1
91	2	-1
92	1	-5
93	2	2
94	2	-2
95	1	-3
96	1	5
97	1	3
98	1	4
99	2	-4
